"","ID","BillLength"
"E509370","E509370",0.096
"F464559","F464559",0.065
"K578717","K578717",0.019
"L312169","L312169",-0.116
"L312889","L312889",0.221
"L315203","L315203",0.296
"L315204","L315204",-0.071
"L808160","L808160",0.089
"L808165","L808165",0.007
"L809630","L809630",-0.082
"NC11333","NC11333",0.107
"T640328","T640328",0.018
"T640673","T640673",0.055
"T640675","T640675",-0.258
"T640728","T640728",0.084
"T640776","T640776",-0.087
"TC58648","TC58648",-0.209
"TC58655","TC58655",-0.012
"TC59093","TC59093",0.14
"TC59676","TC59676",-0.03
"TJ24755","TJ24755",0.063
"TJ24770","TJ24770",0.082
"TJ24810","TJ24810",0.073
"TJ24834","TJ24834",0.152
"TJ24861","TJ24861",0.104
"TJ24880","TJ24880",-0.323
"TJ24902","TJ24902",0.354
"TJ25269","TJ25269",0.058
"TJ26128","TJ26128",0.134
"TJ26252","TJ26252",-0.359
"TJ26568","TJ26568",-0.146
"TJ26665","TJ26665",-0.012
"TJ27562","TJ27562",-0.126
"TJ40863","TJ40863",-0.118
"TK25698","TK25698",-0.223
"TK26867","TK26867",0.04
"TK27150","TK27150",0.026
"TL36340","TL36340",-0.146
"TL36368","TL36368",-0.049
"TL37132","TL37132",-0.064
"TL37158","TL37158",0.036
"TL37538","TL37538",-0.082
"TL37539","TL37539",0.167
"TL37638","TL37638",-0.115
"TL37665","TL37665",0.148
"TL37748","TL37748",0.24
"TL37756","TL37756",0.052
"TL37775","TL37775",0.027
"TL38226","TL38226",-0.226
"TL39121","TL39121",0.224
"TP25604","TP25604",0.089
"TP28779","TP28779",0.078
"TP41544","TP41544",-0.236
"TP41653","TP41653",-0.12
"TP41818","TP41818",-0.014
"TP41854","TP41854",-0.155
"TP42059","TP42059",-0.134
"TR40051","TR40051",-0.033
"TR40183","TR40183",0.076
"TR40363","TR40363",0.23
"TR42058","TR42058",0.12
"TR42079","TR42079",-0.122
"TR42233","TR42233",0.098
"TR42713","TR42713",-0.131
"TR43661","TR43661",-0.04
"TR43666","TR43666",-0.017
"V279628","V279628",-0.081
"V729628","V729628",-0.2
"X235208","X235208",-0.461
"X235502","X235502",0.096
"X235604","X235604",0.282
"X235629","X235629",0.154
"X235631","X235631",-0.096
"X237904","X237904",-0.052
"X237911","X237911",-0.035
"X237918","X237918",0.109
"X239571","X239571",0.207
"X239704","X239704",-0.13
"X239846","X239846",-0.048
"X239901","X239901",0.138
"X661866","X661866",-0.122
"X805880","X805880",-0.149
"Y033816","Y033816",-0.003
"Y033824","Y033824",0.113
"Y033835","Y033835",0.07
"Y034702","Y034702",-0.033
"Y034724","Y034724",0.051
